City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hilo,US,80.6,light rain,19.73,-155.09,Hilo Hawaiian Hotel
10,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
18,Hambantota,LK,75.2,moderate rain,6.12,81.12,Bungalow 63
27,Gamba,GA,76.41,light rain,-2.65,10.0,
31,Bengkulu,ID,82.2,light rain,-3.8,102.27,Grage Hotel Bengkulu
34,Lorengau,PG,83.07,light rain,-2.02,147.27,Lorengau Harbourside Hotel
38,Guarapari,BR,78.8,moderate rain,-20.67,-40.5,Hotel Porto do Sol
43,Kudahuvadhoo,MV,81.84,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
48,Georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
52,Kloulklubed,PW,77.0,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
83,Omboue,GA,76.51,light rain,-1.57,9.26,Hotel Olako
85,Tautira,PF,84.2,light rain,-17.73,-149.15,Pension Oaoa
115,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
118,Flinders,AU,75.99,moderate rain,-34.58,150.86,Shellharbour Resort & Conference Centre
125,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
162,Sambava,MG,76.55,light rain,-14.27,50.17,Melrose
185,Sitio Novo Do Tocantins,BR,75.29,moderate rain,-5.52,-47.46,Imperial Hotel
203,Dingle,PH,81.57,light rain,11.0,122.67,SEGAYA PROPERTY
215,Marawi,PH,79.93,light rain,8.0,124.29,Derogongan Residence
254,Boa Vista,BR,78.8,heavy intensity rain,2.82,-60.67,Aipana Plaza Hotel
257,Kalmunai,LK,79.54,moderate rain,7.42,81.82,VS Villa
287,Lotofaga,WS,75.2,moderate rain,-13.98,-171.86,Sataoa Beach Fales
360,San Policarpo,PH,82.74,light rain,12.18,125.51,JM Lodge
361,Banda Aceh,ID,78.37,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
377,Kailua,US,82.4,light rain,21.4,-157.74,Sheffield House Bed & Breakfast
387,Kuah,MY,80.6,light rain,6.33,99.84,Azio Hotel
388,Alofi,NU,78.8,moderate rain,-19.06,-169.92,Taloa Heights
417,Tumaco,CO,75.51,light rain,1.8,-78.82,Hotel los mellizos
432,Porto Velho,BR,77.0,light rain,-8.76,-63.9,Hotel Vila Rica Porto Velho
444,Tual,ID,84.06,light rain,-5.67,132.75,Grand Vilia Hotel
450,Isangel,VU,78.53,light rain,-19.55,169.27,Volcano Sea View Tree House
503,Sola,VU,83.1,light rain,-13.88,167.55,Ulkel Guest House
526,Kota Bahru,MY,80.6,heavy intensity rain,6.13,102.24,Grand Riverview Hotel
535,Lethem,GY,78.8,moderate rain,3.38,-59.8,Savannah Inn
555,Maroantsetra,MG,75.76,light rain,-15.43,49.73,La Pagode
