City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Busselton,AU,-33.65,115.33,73.0,50,100,8.99,overcast clouds,0.0,0.0
1,Albany,US,42.6,-73.97,33.01,76,2,8.01,clear sky,0.0,0.0
2,Tiksi,RU,71.69,128.87,-26.97,86,100,4.61,overcast clouds,0.0,0.0
3,Saskylakh,RU,71.92,114.08,-34.37,81,16,5.28,few clouds,0.0,0.0
4,Puerto Ayora,EC,-0.74,-90.35,73.0,90,20,6.76,few clouds,0.0,0.0
5,Oksfjord,NO,70.24,22.35,30.2,73,81,12.75,light snow,0.0,0.41
6,Hilo,US,19.73,-155.09,80.6,57,90,9.17,light rain,0.13,0.0
7,Cape Town,ZA,-33.93,18.42,68.0,64,0,9.17,clear sky,0.0,0.0
8,Rikitea,PF,-23.12,-134.97,79.11,65,8,8.1,clear sky,0.0,0.0
9,Taoudenni,ML,22.68,-3.98,56.03,35,0,2.28,clear sky,0.0,0.0
10,Vaini,TO,-21.2,-175.2,80.6,88,75,11.41,light rain,0.74,0.0
11,Bluff,NZ,-46.6,168.33,53.01,97,100,5.99,overcast clouds,0.0,0.0
12,Makakilo City,US,21.35,-158.09,82.4,57,75,9.17,broken clouds,0.0,0.0
13,Punta Arenas,CL,-53.15,-70.92,50.0,71,0,18.34,clear sky,0.0,0.0
14,Back Mountain,US,41.34,-76.0,34.0,89,78,4.94,broken clouds,0.0,0.0
15,Tiznit,MA,29.58,-9.5,49.51,79,100,3.31,overcast clouds,0.0,0.0
16,Mar Del Plata,AR,-38.0,-57.56,75.2,47,0,6.93,clear sky,0.0,0.0
17,Upernavik,GL,72.79,-56.15,7.21,92,100,11.54,overcast clouds,0.0,0.0
18,Hambantota,LK,6.12,81.12,75.2,100,75,4.7,moderate rain,3.03,0.0
19,Vardo,NO,70.37,31.11,27.55,93,26,10.04,scattered clouds,0.0,0.0
20,Butaritari,KI,3.07,172.79,81.63,81,0,16.82,clear sky,0.0,0.0
21,Leningradskiy,RU,69.38,178.42,-10.82,89,100,3.85,overcast clouds,0.0,0.0
22,Mataura,NZ,-46.19,168.86,53.01,97,100,5.99,overcast clouds,0.0,0.0
23,Silver City,US,32.77,-108.28,39.2,29,1,3.36,clear sky,0.0,0.0
24,Hithadhoo,MV,-0.6,73.08,82.51,77,98,10.4,overcast clouds,0.0,0.0
25,Santa Margherita Ligure,IT,44.33,9.21,48.99,80,95,14.97,overcast clouds,0.0,0.0
26,Grand-Santi,GF,4.25,-54.38,72.25,97,100,2.19,overcast clouds,0.0,0.0
27,Gamba,GA,-2.65,10.0,76.41,91,100,2.04,light rain,0.34,0.0
28,Maragogi,BR,-9.01,-35.22,77.31,81,9,9.28,clear sky,0.0,0.0
29,Qazvin,IR,36.28,50.0,24.8,79,0,2.24,clear sky,0.0,0.0
30,Kavaratti,IN,10.57,72.64,81.75,65,0,7.92,clear sky,0.0,0.0
31,Bengkulu,ID,-3.8,102.27,82.2,72,28,1.88,light rain,0.707,0.0
32,Ushuaia,AR,-54.8,-68.3,50.0,66,75,36.91,light rain,0.12,0.0
33,Kodiak,US,57.79,-152.41,33.8,80,90,13.87,light snow,0.0,0.0
34,Lorengau,PG,-2.02,147.27,83.07,79,100,5.37,light rain,0.77,0.0
35,Pevek,RU,69.7,170.31,-11.54,83,21,1.1,few clouds,0.0,0.0
36,Port Alfred,ZA,-33.59,26.89,63.0,90,1,1.01,clear sky,0.0,0.0
37,Bathsheba,BB,13.22,-59.52,77.0,69,20,20.8,few clouds,0.0,0.0
38,Guarapari,BR,-20.67,-40.5,78.8,78,40,9.17,moderate rain,2.44,0.0
39,San Patricio,US,28.02,-97.52,54.0,71,1,5.82,clear sky,0.0,0.0
40,Yar-Sale,RU,66.83,70.83,-23.6,85,0,14.12,clear sky,0.0,0.0
41,Hualmay,PE,-11.1,-77.61,68.85,85,100,7.61,overcast clouds,0.0,0.0
42,Pacific Grove,US,36.62,-121.92,54.0,93,90,7.49,mist,0.0,0.0
43,Kudahuvadhoo,MV,2.67,72.89,81.84,75,94,7.67,moderate rain,1.27,0.0
44,Camana,PE,-16.62,-72.71,70.3,84,100,4.99,overcast clouds,0.0,0.0
45,Shakawe,BW,-18.37,21.85,69.48,90,100,3.65,light rain,0.83,0.0
46,Bogatoye,RU,53.06,51.33,19.67,98,100,11.16,light snow,0.0,0.32
47,Mabaruma,GY,8.2,-59.78,73.42,97,64,5.57,light rain,0.75,0.0
48,Georgetown,MY,5.41,100.34,80.6,83,20,3.51,light rain,0.73,0.0
49,Kieta,PG,-6.22,155.63,86.02,62,4,4.52,clear sky,0.0,0.0
50,Hermanus,ZA,-34.42,19.23,64.0,84,43,4.0,scattered clouds,0.0,0.0
51,Airai,TL,-8.93,125.41,74.01,79,70,1.63,light rain,0.65,0.0
